Date,Station,SO2,NO2,CO,PM2.5,PM10,AQI Index,AQI Value,Prominent Pollutant
18-Mar,Perungudi,3,7,0.4,11,36,Good,36,PM10
18-Mar,Royapuram,22,15,0.4,8,21,Good,21,PM10
18-Mar,Manali,12,12,0.7,47,54,Satisfactory,78,PM2.5
19-Mar,Kodungaiyur,4,10,0.7,13,53,Satisfactory,53,PM10
19-Mar,Koyambedu,3,11,-,17,51,Satisfactory,51,PM10
19-Mar,Perungudi,2,7,0.4,20,54,Satisfactory,54,PM10
19-Mar,Royapuram,2,16,0.5,16,34,Good,34,PM10
19-Mar,Manali,10,6,0.8,45,65,Satisfactory,75,PM2.5
20-Mar,Kodungaiyur,4,10,0.6,19,84,Satisfactory,84,PM10
20-Mar,Koyambedu,2,8,-,32,74,Satisfactory,74,PM10
20-Mar,Perungudi,3,7,0.4,42,88,Satisfactory,88,PM10
20-Mar,Royapuram,5,16,0.5,32,55,Satisfactory,55,PM10
20-Mar,Manali,12,14,0.9,40,66,Satisfactory,67,PM2.5
21-Mar,Kodungaiyur,5,6,0.6,13,51,Satisfactory,51,PM10
21-Mar,Koyambedu,3,6,-,17,51,Satisfactory,51,PM10
21-Mar,Perungudi,2,7,0.4,22,54,Satisfactory,54,PM10
21-Mar,Royapuram,4,14,0.4,19,39,Good,39,PM10
21-Mar,Manali,11,10,0.9,49,56,Satisfactory,82,PM2.5
22-Mar,Kodungaiyur,4,8,0.6,13,56,Satisfactory,56,PM10
22-Mar,Koyambedu,3,8,-,19,47,Good,47,PM10
22-Mar,Perungudi,3,7,0.3,20,50,Good,50,PM10
22-Mar,Royapuram,2,13,0.4,17,34,Good,34,PM10
22-Mar,Manali,21,9,0.9,42,55,Satisfactory,70,PM2.5
23-Mar,Kodungaiyur,4,10,0.7,16,69,Satisfactory,69,PM10
23-Mar,Koyambedu,3,11,-,28,68,Satisfactory,68,PM10
23-Mar,Perungudi,3,7,0.4,28,64,Satisfactory,64,PM10
23-Mar,Royapuram,3,14,0.6,22,43,Good,43,PM10
23-Mar,Manali,12,12,0.9,36,86,Satisfactory,86,PM10
24-Mar,Kodungaiyur,4,10,0.6,15,65,Satisfactory,65,PM10
24-Mar,Koyambedu,4,12,-,23,60,Satisfactory,60,PM10
24-Mar,Perungudi,4,7,0.4,26,62,Satisfactory,62,PM10
24-Mar,Royapuram,2,12,0.6,21,45,Good,45,PM10
24-Mar,Manali,11,12,0.9,27,49,Satisfactory,49,PM10
25-Mar,Kodungaiyur,4,8,0..6,11,47,Good,47,PM10
25-Mar,Koyambedu,3,9,-,17,44,Good,44,PM10
25-Mar,Perungudi,3,7,0.4,18,47,Good,47,PM10
25-Mar,Royapuram,2,10,0.5,15,29,Good,29,PM10
25-Mar,Manali,12,13,0.9,59,68,Satisfactory,98,PM2.5
26-Mar,Kodungaiyur,4,8,0.6,10,46,Good,46,PM10
26-Mar,Koyambedu,3,9,-,18,48,Good,48,PM10
26-Mar,Perungudi,3,7,0.4,20,54,Satisfactory,54,PM10
26-Mar,Royapuram,2,10,0.5,14,24,Good,24,PM10
26-Mar,Manali,13,12,0.8,37,56,Satisfactory,62,PM2.5
27-Mar,Kodungaiyur,4,9,0.6,11,52,Satisfactory,52,PM10
27-Mar,Koyambedu,3,11,-,17,52,Satisfactory,52,PM10
27-Mar,Perungudi,3,7,0.4,24,62,Satisfactory,62,PM10
27-Mar,Royapuram,3,14,0.6,14,37,Good,37,PM10
27-Mar,Manali,13,13,0.9,41,61,Satisfactory,61,PM10
28-Mar,Kodungaiyur,5,10,0.7,14,62,Satisfactory,62,PM10
28-Mar,Koyambedu,3,12,-,24,57,Satisfactory,57,PM10
28-Mar,Perungudi,3,7,0.4,24,71,Satisfactory,71,PM10
28-Mar,Royapuram,2,11,0.5,23,45,Good,45,PM10
28-Mar,Manali,23,12,1,44,65,Satisfactory,73,PM10
29-Mar,Kodungaiyur,5,9,0.6,14,56,Satisfactory,56,PM10
29-Mar,Koyambedu,2,11,-,12,49,Good,49,PM10
29-Mar,Perungudi,3,8,0.4,19,58,Satisfactory,58,PM10
29-Mar,Royapuram,2,11,0.5,15,45,Good,45,PM10
29-Mar,Manali,23,15,0,41,53,Satisfactory,53,PM10
30-Mar,Kodungaiyur,4,11,0.8,10,52,Satisfactory,52,PM10
30-Mar,Koyambedu,3,13,-,13,53,Satisfactory,53,PM10
30-Mar,Perungudi,3,8,0.4,17,51,Satisfactory,51,PM10
30-Mar,Royapuram,2,11,0.6,14,42,Good,42,PM10
30-Mar,Manali,23,15,0.8,41,54,Satisfactory,68,PM2.5
31-Mar,Kodungaiyur,4,10,0.7,11,42,Good,42,PM10
31-Mar,Koyambedu,3,12,-,11,47,Good,47,PM10
31-Mar,Perungudi,4,8,0.4,16,57,Satisfactory,57,PM10
31-Mar,Royapuram,2,13,0.6,13,37,Good,37,PM10
31-Mar,Manali,22,10,0.8,35,51,Satisfactory,58,PM2.5
01-Apr,Kodungaiyur,5,8,0.6,9,36,Good,36,PM10
01-Apr,Koyambedu,3,9,-,9,38,Good,38,PM10
01-Apr,Perungudi,3,9,0.4,12,43,Good,43,PM10
01-Apr,Royapuram,2,10,0.5,10,28,Good,28,PM10
01-Apr,Manali,22,11,0.6,36,43,Satisfactory,60,PM2.5
02-Apr,Kodungaiyur,3,8,0.6,12,46,Good,46,PM10
02-Apr,Koyambedu,3,10,-,10,42,Good,42,PM10
02-Apr,Perungudi,4,9,0.4,16,53,Satisfactory,53,PM10
02-Apr,Royapuram,3,11,0.5,12,41,Good,41,PM10
02-Apr,Manali,13,13,0.7,40,57,Satisfactory,68,PM2.5
03-Apr,Kodungaiyur,4,10,0.6,11,45,Good,45,PM10
03-Apr,Koyambedu,3,11,-,11,46,Good,46,PM10
03-Apr,Perungudi,3,9,0.4,13,51,Satisfactory,51,PM10
03-Apr,Royapuram,2,11,0.5,12,53,Satisfactory,53,PM10
03-Apr,Manali,10,10,0.6,34,47,Satisfactory,57,PM2.5
04-Apr,Kodungaiyur,4,9,0.6,8,34,Good,34,PM10
04-Apr,Koyambedu,3,12,-,7,37,Good,37,PM10
04-Apr,Perungudi,3,8,0.4,9,39,Good,39,PM10
04-Apr,Royapuram,3,9,0.5,6,27,Good,27,PM10
04-Apr,Manali,13,10,0.6,34,51,Satisfactory,57,PM2.5
05-Apr,Kodungaiyur,5,10,0.7,8,35,Good,35,PM10
05-Apr,Koyambedu,3,12,-,6,33,Good,33,PM10
05-Apr,Perungudi,4,8,0.4,7,36,Good,36,PM10
05-Apr,Royapuram,3,9,0.6,4,24,Good,30,CO
05-Apr,Manali,26,7,0.5,34,45,Satisfactory,57,PM2.5
06-Apr,Kodungaiyur,5,12,0.7,10,46,Good,46,PM10
06-Apr,Koyambedu,4,14,-,10,46,Good,46,PM10
06-Apr,Perungudi,2,7,0.3,10,41,Good,41,PM10
06-Apr,Royapuram,3,10,0.6,7,33,Good,33,PM10
06-Apr,Manali,20,22,0.7,37,49,Satisfactory,62,PM2.5
07-Apr,Kodungaiyur,55,13,0.6,10,54,Satisfactory,54,PM10
07-Apr,Koyambedu,4,3,-,12,49,Good,49,PM10
07-Apr,Perungudi,3,9,0.3,13,45,Good,45,PM10
07-Apr,Royapuram,4,10,0.6,9,33,Good,33,PM10
07-Apr,Manali,12,12,0.7,31,57,Satisfactory,57,PM10
